Device: cuda
Vocabulary size: 125 | PAD index: 0
Training data: 1754281 sequences x 100 steps
Trainable parameters: 21636221
Batch size: 128 | batches per epoch: 13705 | epochs: 15
  epoch 1/15 | batch 8500/13705 | loss 0.4496 | avg 0.6834
  epoch 1/15 | batch 8600/13705 | loss 0.4484 | avg 0.6806
  epoch 1/15 | batch 8700/13705 | loss 0.4574 | avg 0.6779
  epoch 1/15 | batch 8800/13705 | loss 0.4554 | avg 0.6752
  epoch 1/15 | batch 8900/13705 | loss 0.4432 | avg 0.6726
  epoch 1/15 | batch 9000/13705 | loss 0.4446 | avg 0.6700
  epoch 1/15 | batch 9100/13705 | loss 0.4205 | avg 0.6675
  epoch 1/15 | batch 9200/13705 | loss 0.4371 | avg 0.6650
  epoch 1/15 | batch 9300/13705 | loss 0.4288 | avg 0.6625
  epoch 1/15 | batch 9400/13705 | loss 0.4295 | avg 0.6602
  epoch 1/15 | batch 9500/13705 | loss 0.4282 | avg 0.6578
  epoch 1/15 | batch 9600/13705 | loss 0.4303 | avg 0.6555
  epoch 1/15 | batch 9700/13705 | loss 0.4438 | avg 0.6533
  epoch 1/15 | batch 9800/13705 | loss 0.4603 | avg 0.6511
  epoch 1/15 | batch 9900/13705 | loss 0.4254 | avg 0.6489
  epoch 1/15 | batch 10000/13705 | loss 0.4450 | avg 0.6467
  epoch 1/15 | batch 10100/13705 | loss 0.4393 | avg 0.6446
  epoch 1/15 | batch 10200/13705 | loss 0.4341 | avg 0.6425
  epoch 1/15 | batch 10300/13705 | loss 0.4456 | avg 0.6405
  epoch 1/15 | batch 10400/13705 | loss 0.4404 | avg 0.6385
  epoch 1/15 | batch 10500/13705 | loss 0.4454 | avg 0.6365
  epoch 1/15 | batch 10600/13705 | loss 0.4456 | avg 0.6345
  epoch 1/15 | batch 10700/13705 | loss 0.4267 | avg 0.6326
  epoch 1/15 | batch 10800/13705 | loss 0.4270 | avg 0.6307
  epoch 1/15 | batch 10900/13705 | loss 0.4257 | avg 0.6289
  epoch 1/15 | batch 11000/13705 | loss 0.4100 | avg 0.6270
  epoch 1/15 | batch 11100/13705 | loss 0.4257 | avg 0.6252
  epoch 1/15 | batch 11200/13705 | loss 0.4315 | avg 0.6235
  epoch 1/15 | batch 11300/13705 | loss 0.4324 | avg 0.6217
  epoch 1/15 | batch 11400/13705 | loss 0.4308 | avg 0.6200
  epoch 1/15 | batch 11500/13705 | loss 0.4306 | avg 0.6183
  epoch 1/15 | batch 11600/13705 | loss 0.4286 | avg 0.6166
  epoch 1/15 | batch 11700/13705 | loss 0.4228 | avg 0.6150
  epoch 1/15 | batch 11800/13705 | loss 0.4420 | avg 0.6134
  epoch 1/15 | batch 11900/13705 | loss 0.3947 | avg 0.6118
  epoch 1/15 | batch 12000/13705 | loss 0.4228 | avg 0.6102
  epoch 1/15 | batch 12100/13705 | loss 0.4364 | avg 0.6086
  epoch 1/15 | batch 12200/13705 | loss 0.4398 | avg 0.6071
  epoch 1/15 | batch 12300/13705 | loss 0.4400 | avg 0.6056
  epoch 1/15 | batch 12400/13705 | loss 0.4107 | avg 0.6041
  epoch 1/15 | batch 12500/13705 | loss 0.3999 | avg 0.6027
  epoch 1/15 | batch 12600/13705 | loss 0.4176 | avg 0.6012
  epoch 1/15 | batch 12700/13705 | loss 0.4140 | avg 0.5998
  epoch 1/15 | batch 12800/13705 | loss 0.4199 | avg 0.5984
  epoch 1/15 | batch 12900/13705 | loss 0.4260 | avg 0.5970
  epoch 1/15 | batch 13000/13705 | loss 0.3991 | avg 0.5956
  epoch 1/15 | batch 13100/13705 | loss 0.4077 | avg 0.5942
  epoch 1/15 | batch 13200/13705 | loss 0.4282 | avg 0.5929
  epoch 1/15 | batch 13300/13705 | loss 0.4044 | avg 0.5916
  epoch 1/15 | batch 13400/13705 | loss 0.3966 | avg 0.5902
  epoch 1/15 | batch 13500/13705 | loss 0.4025 | avg 0.5890
  epoch 1/15 | batch 13600/13705 | loss 0.4141 | avg 0.5877
  epoch 1/15 | batch 13700/13705 | loss 0.4087 | avg 0.5865
Epoch 1/15 | average loss 0.5864
  epoch 2/15 | batch 100/13705 | loss 0.4200 | avg 0.4109
  epoch 2/15 | batch 200/13705 | loss 0.4074 | avg 0.4107
  epoch 2/15 | batch 300/13705 | loss 0.3996 | avg 0.4102
  epoch 2/15 | batch 400/13705 | loss 0.4079 | avg 0.4107
  epoch 2/15 | batch 500/13705 | loss 0.4068 | avg 0.4109
  epoch 2/15 | batch 600/13705 | loss 0.4045 | avg 0.4112
  epoch 2/15 | batch 700/13705 | loss 0.4203 | avg 0.4111
  epoch 2/15 | batch 800/13705 | loss 0.4441 | avg 0.4112
  epoch 2/15 | batch 900/13705 | loss 0.4229 | avg 0.4112
  epoch 2/15 | batch 1000/13705 | loss 0.3994 | avg 0.4112
  epoch 2/15 | batch 1100/13705 | loss 0.4015 | avg 0.4110
  epoch 2/15 | batch 1200/13705 | loss 0.4150 | avg 0.4110
  epoch 2/15 | batch 1300/13705 | loss 0.3833 | avg 0.4108
  epoch 2/15 | batch 1400/13705 | loss 0.3948 | avg 0.4107
  epoch 2/15 | batch 1500/13705 | loss 0.4120 | avg 0.4107
  epoch 2/15 | batch 1600/13705 | loss 0.4083 | avg 0.4105
  epoch 2/15 | batch 1700/13705 | loss 0.4198 | avg 0.4104
  epoch 2/15 | batch 1800/13705 | loss 0.3980 | avg 0.4103
  epoch 2/15 | batch 1900/13705 | loss 0.3911 | avg 0.4103
  epoch 2/15 | batch 2000/13705 | loss 0.3996 | avg 0.4102
  epoch 2/15 | batch 2100/13705 | loss 0.3923 | avg 0.4099
  epoch 2/15 | batch 2200/13705 | loss 0.3817 | avg 0.4097
  epoch 2/15 | batch 2300/13705 | loss 0.3959 | avg 0.4095
  epoch 2/15 | batch 2400/13705 | loss 0.4036 | avg 0.4094
  epoch 2/15 | batch 2500/13705 | loss 0.4076 | avg 0.4093
  epoch 2/15 | batch 2600/13705 | loss 0.4038 | avg 0.4092
  epoch 2/15 | batch 2700/13705 | loss 0.3862 | avg 0.4091
  epoch 2/15 | batch 2800/13705 | loss 0.4066 | avg 0.4090
  epoch 2/15 | batch 2900/13705 | loss 0.3977 | avg 0.4088
  epoch 2/15 | batch 3000/13705 | loss 0.4209 | avg 0.4087
  epoch 2/15 | batch 3100/13705 | loss 0.3960 | avg 0.4086
  epoch 2/15 | batch 3200/13705 | loss 0.3997 | avg 0.4085
  epoch 2/15 | batch 3300/13705 | loss 0.3903 | avg 0.4084
  epoch 2/15 | batch 3400/13705 | loss 0.4029 | avg 0.4083
  epoch 2/15 | batch 3500/13705 | loss 0.4169 | avg 0.4083
  epoch 2/15 | batch 3600/13705 | loss 0.4367 | avg 0.4081
  epoch 2/15 | batch 3700/13705 | loss 0.3890 | avg 0.4080
  epoch 2/15 | batch 3800/13705 | loss 0.4242 | avg 0.4079
  epoch 2/15 | batch 3900/13705 | loss 0.3955 | avg 0.4077
  epoch 2/15 | batch 4000/13705 | loss 0.4088 | avg 0.4076
  epoch 2/15 | batch 4100/13705 | loss 0.4128 | avg 0.4075
  epoch 2/15 | batch 4200/13705 | loss 0.4055 | avg 0.4073
  epoch 2/15 | batch 4300/13705 | loss 0.3988 | avg 0.4072
  epoch 2/15 | batch 4400/13705 | loss 0.4032 | avg 0.4071
  epoch 2/15 | batch 4500/13705 | loss 0.3915 | avg 0.4070
